epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2866.9,0.54042,0.82209,1,0.41405,0.0701852,0.00331276,0.00331276
2,5303.19,0.45424,0.86503,1,0.33628,0.0398562,0.00631711,0.00631711
3,7703.19,0.42653,0.85123,1,0.3481,0.00919722,0.00899146,0.00899146
4,10053.5,0.40427,0.83896,1,0.39517,0.008515,0.008515,0.008515
5,12391.9,0.36924,0.84202,1,0.38056,0.00802,0.00802,0.00802
6,14723.5,0.33279,0.8589,1,0.43109,0.007525,0.007525,0.007525
7,17051.4,0.2647,0.84816,1,0.39259,0.00703,0.00703,0.00703
8,19379.6,0.25849,0.8727,1,0.39677,0.006535,0.006535,0.006535
9,21703.6,0.24168,0.87117,1,0.35344,0.00604,0.00604,0.00604
10,24027.8,0.2153,0.86503,1,0.38368,0.005545,0.005545,0.005545
11,26353.7,0.16289,0.8589,1,0.42294,0.00505,0.00505,0.00505
12,28681.4,0.15728,0.8773,1,0.39021,0.004555,0.004555,0.004555
13,31015,0.15165,0.86656,1,0.4118,0.00406,0.00406,0.00406
14,33345.7,0.11069,0.87423,1,0.42985,0.003565,0.003565,0.003565
15,35683.5,0.09642,0.88344,1,0.40178,0.00307,0.00307,0.00307
16,38022.7,0.07073,0.88497,1,0.40954,0.002575,0.002575,0.002575
17,40368.3,0.05715,0.87117,1,0.47117,0.00208,0.00208,0.00208
18,42713,0.068,0.87117,1,0.41746,0.001585,0.001585,0.001585
19,45130.4,0.04351,0.87883,1,0.44774,0.00109,0.00109,0.00109
20,47537.3,0.04097,0.87577,1,0.45113,0.000595,0.000595,0.000595
